title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Library of Congress - Madison Rooms Audio and Visual Equipment,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV25R0045,2025-08-21,2025-08-25,Inactive,,"The James Madison Memorial Building, part of the Library of Congress complex is the national monument to the fourth U.S. president, James Madison. The building opened in 1980, and it houses multiple public and ceremonial venues, including the Mont",https://sam.gov/opp/1a7e364bb8734208bb63a4b002a8dd35/view,,
U.S. Senate Color Digital Press,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2025-R-075,2025-08-19,2025-08-26,Inactive,,"**SUBMISSION DEADLINE EXTENDED TO AUGUST 26, 2025** **BIDDERS Q&A RESPONSES PUBLISHED ON AUGUST 19, 2025** The United States Senate, Office of the Sergeant",https://sam.gov/opp/6683beb4b9b64421b2e9358422d8ff81/view,,
U.S. Senate Flatbed Printer System,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2025-R-074,2025-08-19,2025-08-26,Inactive,,"**SUBMISSION DEADLINE EXTENDED TO AUGUST 26, 2025** **BIDDERS Q&A RESPONSES PUBLISHED ON AUGUST 19, 2025** The United States Senate, Office of the Sergeant",https://sam.gov/opp/660964f69556423db85679a63fac50b3/view,,
Direct Mailers - Postcards,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,647-738,2025-08-18,2025-08-21,Inactive,,"This specification is for proofing, printing, addressing with variable imaging, binding and mailing of postcards, with secure handling of PII required. Full specifications can be found at https://www.gpo.gov/docs/default-source/contra",https://sam.gov/opp/336c2e9299b946ed9de2971c78fbf21d/view,,
"Short-Run, Fast Schedule, Duplicating/Copying",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Short-Run_Fast_Schedule_Duplicating_Copying_5355-S,2025-08-18,2025-08-26,Inactive,,"These specifications cover the production of books and pamphlets requiring such operations as duplicating/copying, tab dividers, stitching, binding, packing and delivery.",https://sam.gov/opp/279b78d756af47e58b259e7d1dd66967/view,,
Lawn Service and Snow Removal Services -- Congressman Frank Evans Pueblo Distribution Center,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Sources Sought,040ADV-25-X-0591,2025-08-18,2025-08-27,Inactive,,"The Government hereby releases this RFI to survey the market for the required landscaping and snow removal services in Pueblo, CO.",https://sam.gov/opp/1c88469ca11c46c4b24f32ea16954c28/view,,
Pressure Washing -- Government Publishing Office (GPO),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-25-Q-0039-0001,2025-08-18,2025-08-26,Inactive,,"This is an amendment to 040ADV-25-Q-0039, simply posting the repsonses to the Q&A portion of the solicitation. Refer to the original posting for more details.",https://sam.gov/opp/7b1ca4af78b0484e9275643744ab5d47/view,,
Junior Ranger Booklets,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Program1521S,2025-08-15,2025-08-22,Inactive,,"These specifications cover the production of booklets requiring such operations as electronic prepress, proofs, printing 4-color process, varnishing or aqueous coating, saddle-wire stitching, packing, labeling, and delivery.",https://sam.gov/opp/564a96043bca4ecf955ff2ae0b3dff29/view,,
Intake/Interview & Quality Review Sheet Form F13614-C,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,Forms624082(2025),2025-08-14,,Inactive,,This is award information for Jacket 624-082.,https://sam.gov/opp/8a120dec01fa4c8d9b30daca40e5ce09/view,J. J. Collins & Sons/Printers,
"RRB Rate Letters, Tax Statements, BA-6 Forms",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Program5515S,2025-08-13,2025-08-20,Inactive,,"These specifications cover the production of printed window envelopes, printed & personalized laser imaged forms, and printed & personalized laser imaged rate letters, and newsletters, requiring such operations as pick up and/or receipt of",https://sam.gov/opp/306971c55eed432e99bc202b2421f866/view,,
